station_id,station_name,timestamp,temperature,pressure,humidity,label,fault_type,sensor_type,original_value,evaluation_value,ground_truth_anomaly,ground_truth_type,is_missing
AWS-001,Delhi Safdarjung,2026-08-01 00:00:00,24.43,1007.38,71.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 00:10:00,24.52,1007.5,72.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 00:20:00,24.07,1007.59,74.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 00:30:00,23.98,1007.13,74.2,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 00:40:00,23.57,1007.38,73.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 00:50:00,23.74,1007.62,75.8,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:00:00,24.31,1007.34,79.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:10:00,23.85,1007.9,75.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:20:00,24.01,1007.55,74.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:30:00,24.11,1007.62,77.1,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:40:00,23.99,1007.99,77.0,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 01:50:00,23.28,1007.72,75.1,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:00:00,23.47,1007.9,75.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:10:00,23.26,1008.02,76.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:20:00,22.98,1008.19,74.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:30:00,23.88,1008.43,75.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:40:00,23.83,1007.95,73.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 02:50:00,22.77,1008.71,75.0,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:00:00,23.36,1008.65,75.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:10:00,23.29,1008.44,76.1,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:20:00,23.23,1008.27,77.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:30:00,23.51,1008.74,73.0,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:40:00,23.43,1008.39,73.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 03:50:00,23.83,1008.34,74.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:00:00,24.21,1009.23,75.2,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:10:00,23.63,1009.21,75.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:20:00,24.89,1008.92,71.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:30:00,24.33,1009.43,73.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:40:00,24.51,1009.04,72.0,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 04:50:00,24.91,1009.36,73.9,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:00:00,24.98,1009.3,70.7,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:10:00,25.21,1009.23,70.3,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:20:00,25.36,1009.5,70.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:30:00,26.33,1009.65,73.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:40:00,26.17,1009.64,72.3,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 05:50:00,26.93,1009.42,69.1,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:00:00,26.72,1009.7,69.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:10:00,26.62,1009.39,71.2,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:20:00,26.53,1009.65,66.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:30:00,27.57,1010.13,68.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:40:00,27.99,1009.88,67.6,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 06:50:00,28.42,1010.31,68.0,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:00:00,28.64,1009.71,67.8,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:10:00,29.47,1010.31,64.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:20:00,29.91,1009.5,66.5,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:30:00,29.64,1010.19,65.8,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:40:00,30.46,1010.14,64.1,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 07:50:00,29.76,1009.91,63.2,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 08:00:00,30.73,1009.99,62.4,normal,none,none,,,0,normal,False
AWS-001,Delhi Safdarjung,2026-08-01 08:10:00,31.46,1010.12,64.0,normal,none,none,,,0,normal,False
