station_id,station_name,timestamp,temperature,pressure,humidity,label,fault_type,ground_truth_is_anomaly,ground_truth_sensor
AWS-003,Chennai Nungambakkam,2026-08-01 00:00:00,26.26,1009.98,83.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 00:10:00,25.99,1009.68,83.1,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 00:20:00,25.97,1010.35,81.3,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 00:30:00,25.52,1010.9,82.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 00:40:00,25.43,1010.29,84.1,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 00:50:00,26.03,1010.77,86.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:00:00,25.96,1010.48,83.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:10:00,25.68,1010.59,84.7,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:20:00,26.16,1010.62,82.6,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:30:00,25.68,1010.83,84.5,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:40:00,25.16,1010.82,83.5,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 01:50:00,24.96,1011.24,83.5,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:00:00,25.36,1011.38,83.3,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:10:00,24.97,1011.06,84.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:20:00,25.18,1011.08,87.4,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:30:00,25.34,1011.32,81.9,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:40:00,25.27,1011.08,84.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 02:50:00,25.58,1011.27,83.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:00:00,25.72,1011.19,85.1,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:10:00,25.24,1011.32,83.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:20:00,24.77,1011.62,85.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:30:00,25.9,1011.73,82.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:40:00,25.04,1011.5,81.7,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 03:50:00,25.07,1011.57,81.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:00:00,25.33,1011.7,83.0,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:10:00,25.2,1012.12,85.6,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:20:00,25.52,1011.98,82.3,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:30:00,26.17,1011.99,83.7,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:40:00,27.32,1011.89,81.1,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 04:50:00,26.03,1012.52,82.6,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:00:00,26.56,1012.72,81.2,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:10:00,26.25,1012.92,81.9,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:20:00,27.01,1012.03,80.8,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:30:00,27.17,1012.22,82.7,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:40:00,27.01,1012.68,81.6,normal,none,0,none
AWS-003,Chennai Nungambakkam,2026-08-01 05:50:00,27.5,1012.4,79.9,normal,none,0,none
